id,user,raw_message,clean_message,links,topic,source,timestamp
24,ayush1325,"ayush1325: I was more concerned about the fact that without mikrobus in upstream, the driver cannot be used with any actual bcf node.","I was more concerned about the fact that without mikrobus in upstream, the driver cannot be used with any actual bcf node.",[],general,gsoc,2023-2024
25,nmenon,nmenon: That  is how we build a system up -> this needs to be clearly explained to folks what are these changes meant to bring in and why. how we are building the stack up. this is foundational layer.,That  is how we build a system up -> this needs to be clearly explained to folks what are these changes meant to bring in and why. how we are building the stack up. this is foundational layer.,[],general,gsoc,2023-2024
26,nmenon,"nmenon: So, cover-letter and commit message of the patch will need to be descriptive enough to explain. device tree binding has to be rather very strong to get past Rob/Krystoff/Connor","So, cover-letter and commit message of the patch will need to be descriptive enough to explain. device tree binding has to be rather very strong to get past Rob/Krystoff/Connor",[],kernel_dev,gsoc,2023-2024
27,ayush1325,"ayush1325: Yeah, I definitely need to add that. I didn't think mikrobus would be needed if I am not actually using mikrobus.","Yeah, I definitely need to add that. I didn't think mikrobus would be needed if I am not actually using mikrobus.",[],general,gsoc,2023-2024
28,nmenon,"nmenon: yeah - keep in mind that the people who  will review have no idea what beagleplay is. or  cc1352 is. unless they are convinced this is benefitting large userbase, it is a tough sell -> it is branded narrowly as beagleplay greybus extension.. which makes it harder to accept","yeah - keep in mind that the people who  will review have no idea what beagleplay is. or  cc1352 is. unless they are convinced this is benefitting large userbase, it is a tough sell -> it is branded narrowly as beagleplay greybus extension.. which makes it harder to accept",[],kernel_dev,gsoc,2023-2024
29,ayush1325,ayush1325: Hmm. I have actually considered branding it as a generic greybus extension when we have SVC in a different co-processor with UART between them. The only device I currently know of which falls in this is beagleplay though.,Hmm. I have actually considered branding it as a generic greybus extension when we have SVC in a different co-processor with UART between them. The only device I currently know of which falls in this is beagleplay though.,[],kernel_dev,gsoc,2023-2024
30,ayush1325,"ayush1325: The SVC running code simply needs to be connected with UART, not even be in the same pcb if you really want to stretch it.","The SVC running code simply needs to be connected with UART, not even be in the same pcb if you really want to stretch it.",[],general,gsoc,2023-2024
31,nmenon,nmenon: you have to sell it's potential to a wider base than beagleplay - that is key. and have documentation to explain how people can use it beyond beagleplay. that makes it more interesting to folks to review and accept.,you have to sell it's potential to a wider base than beagleplay - that is key. and have documentation to explain how people can use it beyond beagleplay. that makes it more interesting to folks to review and accept.,[],general,gsoc,2023-2024
32,ayush1325,ayush1325: Thanks. Will definitely look into that.,Thanks. Will definitely look into that.,[],general,gsoc,2023-2024
33,nmenon,nmenon: i am not entirely sure where the staging drivers' device tree bindings go.. hmm..,i am not entirely sure where the staging drivers' device tree bindings go.. hmm..,[],kernel_dev,gsoc,2023-2024
34,nmenon,nmenon: funny to see greybus sitting in staging area after all these years!,funny to see greybus sitting in staging area after all these years!,[],kernel_dev,gsoc,2023-2024
35,nmenon,"nmenon: given an option, i might have extended actual non-staging virtio framework instead..","given an option, i might have extended actual non-staging virtio framework instead..",[],general,gsoc,2023-2024
36,nmenon,"nmenon: sorry, did'nt mean to diminish your work.. just thinking aloud.. looking at this  for the first time.","sorry, did'nt mean to diminish your work.. just thinking aloud.. looking at this  for the first time.",[],general,gsoc,2023-2024
37,ayush1325,ayush1325: Sure. What did you mean by extending virtio framework? It seems interesting.,Sure. What did you mean by extending virtio framework? It seems interesting.,[],general,gsoc,2023-2024
38,nmenon,nmenon: but yeah - in the cover-letter it will need to explain why existing virtio or other similar frameworks were not chosen and why grey-bus was the logical answer..,but yeah - in the cover-letter it will need to explain why existing virtio or other similar frameworks were not chosen and why grey-bus was the logical answer..,[],general,gsoc,2023-2024
39,nmenon,nmenon: https://www.kernel.org/doc/html/next/driver-api/virtio/virtio.html,https://www.kernel.org/doc/html/next/driver-api/virtio/virtio.html,['https://www.kernel.org/doc/html/next/driver-api/virtio/virtio.html'],kernel_dev,gsoc,2023-2024
40,nmenon,"nmenon: anyways, thanks for putting the branch together.. it is much easier to see what is going on.. i gotta go now, kids are waking up.. gotta feed the little monsters 😉","anyways, thanks for putting the branch together.. it is much easier to see what is going on.. i gotta go now, kids are waking up.. gotta feed the little monsters 😉",[],general,gsoc,2023-2024
41,ayush1325,ayush1325: Sure. Thanks for all your help. Will keep working on this in my free time.,Sure. Thanks for all your help. Will keep working on this in my free time.,[],general,gsoc,2023-2024
42,nmenon,nmenon: np,np,[],general,gsoc,2023-2024
43,ayush1325,"ayush1325: @Nishanth Menon I have tried writing a dt schema: https://github.com/Ayush1325/linux/commit/b8ef3d190256623426dd7913cb8d9c636bd14992. It doesn't seem to throw any eroros on running `make dt_binding_check DT_SCHEMA_FILES=beaglecc1352.yaml -j12` but well, I have no idea if it is what is expected.","@Nishanth Menon I have tried writing a dt schema: https://github.com/Ayush1325/linux/commit/b8ef3d190256623426dd7913cb8d9c636bd14992. It doesn't seem to throw any eroros on running `make dt_binding_check DT_SCHEMA_FILES=beaglecc1352.yaml -j12` but well, I have no idea if it is what is expected.",['https://github.com/Ayush1325/linux/commit/b8ef3d190256623426dd7913cb8d9c636bd14992.'],kernel_dev,gsoc,2023-2024
44,ayush1325,"ayush1325: ```
subject line: follow the convention of the files being touched - do git log --oneline file_name to see convention
```
Which commit are you referring to? The gb-beagleplay commit touches the Makefile, KConfig and gb-beagleplay. Should it instead say `greybus: gb-beagleplay:`?","```
subject line: follow the convention of the files being touched - do git log --oneline file_name to see convention
```
Which commit are you referring to? The gb-beagleplay commit touches the Makefile, KConfig and gb-beagleplay. Should it instead say `greybus: gb-beagleplay:`?",[],kernel_dev,gsoc,2023-2024
45,nmenon,nmenon: Did u run kpv? It takes care of the checks. Directory path looks wrong,Did u run kpv? It takes care of the checks. Directory path looks wrong,[],general,gsoc,2023-2024
46,nmenon,"nmenon: Compatible. You just have one item. So just const: beagle, cc1352","Compatible. You just have one item. So just const: beagle, cc1352",[],general,gsoc,2023-2024
47,nmenon,nmenon: Also add an example dts to show. The main fight here is to explain why is this hardware definition,Also add an example dts to show. The main fight here is to explain why is this hardware definition,[],kernel_dev,gsoc,2023-2024
48,nmenon,"nmenon: As I said I want cc'ed on patches themselves, so wasn't able to give exact comments. But if you did do what I said on the files, you should see the pattern. The dts patch for example was definitely wrong.","As I said I want cc'ed on patches themselves, so wasn't able to give exact comments. But if you did do what I said on the files, you should see the pattern. The dts patch for example was definitely wrong.",[],kernel_dev,gsoc,2023-2024
49,ayush1325,ayush1325: It should not go under `serial`?,It should not go under `serial`?,[],general,gsoc,2023-2024
50,ayush1325,"ayush1325: @Nishanth Menon Also, should I really cc lkml on all the patches even though I am sending to greybus mailing list and Ccing device tree ml?","@Nishanth Menon Also, should I really cc lkml on all the patches even though I am sending to greybus mailing list and Ccing device tree ml?",[],kernel_dev,gsoc,2023-2024
51,nmenon,nmenon: Yes,Yes,[],general,gsoc,2023-2024
52,nmenon,nmenon: scripts/get_maintainers.pl will tell u the same thing,scripts/get_maintainers.pl will tell u the same thing,[],general,gsoc,2023-2024
53,ayush1325,ayush1325: @Nishanth Menon I think `s/dev_warn/dev_warn_ratelimited` means substituting (at least in vimspeak)?,@Nishanth Menon I think `s/dev_warn/dev_warn_ratelimited` means substituting (at least in vimspeak)?,[],general,gsoc,2023-2024
54,nmenon,nmenon: yup,yup,[],general,gsoc,2023-2024
55,ayush1325,ayush1325: Ok. I thought the ratelimit comment was about general ratelimiting and not logging.,Ok. I thought the ratelimit comment was about general ratelimiting and not logging.,[],general,gsoc,2023-2024
56,nmenon,nmenon: his comment specifically was on dev_warn,his comment specifically was on dev_warn,[],general,gsoc,2023-2024
57,ayush1325,ayush1325: Yeah. My mistake. I was't really aware about the ratelimited versions of logging to it never crossed my mind.,Yeah. My mistake. I was't really aware about the ratelimited versions of logging to it never crossed my mind.,[],general,gsoc,2023-2024
58,nmenon,nmenon: I think the most troublesome one is https://lore.kernel.org/all/937ea540-09e1-65f2-7165-662bbee2542b@kernel.org/,I think the most troublesome one is https://lore.kernel.org/all/937ea540-09e1-65f2-7165-662bbee2542b@kernel.org/,['https://lore.kernel.org/all/937ea540-09e1-65f2-7165-662bbee2542b@kernel.org/'],kernel_dev,gsoc,2023-2024
59,nmenon,nmenon: I dont see any other greybus bindings in Documentation/device-tree/ ... so makes this a big challenge,I dont see any other greybus bindings in Documentation/device-tree/ ... so makes this a big challenge,[],kernel_dev,gsoc,2023-2024
60,ayush1325,ayush1325: Does a binding which resides in childnode (beaglecc1352 in our case) need to define the properties of the main device or parent (main_uart6)?,Does a binding which resides in childnode (beaglecc1352 in our case) need to define the properties of the main device or parent (main_uart6)?,[],kernel_dev,gsoc,2023-2024
61,ayush1325,"ayush1325: Are there maybe any bindings that just introduce a compatible string and nothing more? Maybe that would be a good place to start? 
Greybus is now in stable, so it should at least be possible to add greybus bindings, if a bit hard","Are there maybe any bindings that just introduce a compatible string and nothing more? Maybe that would be a good place to start? 
Greybus is now in stable, so it should at least be possible to add greybus bindings, if a bit hard",[],kernel_dev,gsoc,2023-2024
62,nmenon,"nmenon: no - wl1807 binding is it's own yaml file.
What we could claim is 1352 as a binding..","no - wl1807 binding is it's own yaml file.
What we could claim is 1352 as a binding..",[],kernel_dev,gsoc,2023-2024
63,nmenon,"nmenon: so greybus is just the bus protocol it uses, but the main thing is dt describes how 1352 device integrates. NOTE: this might conflict with other approaches..","so greybus is just the bus protocol it uses, but the main thing is dt describes how 1352 device integrates. NOTE: this might conflict with other approaches..",[],kernel_dev,gsoc,2023-2024
64,ayush1325,"ayush1325: Yes, it does seem like claiming it 1352 binding might end up being what needs to be done. I would still ask around in the patch thread to see if there are any better approaches.","Yes, it does seem like claiming it 1352 binding might end up being what needs to be done. I would still ask around in the patch thread to see if there are any better approaches.",[],kernel_dev,gsoc,2023-2024
65,jkridner,jkridner: I'm moving the ideas page for next year... help reviewing and editing appreciated: https://bbb.io/gsocideas,I'm moving the ideas page for next year... help reviewing and editing appreciated: https://bbb.io/gsocideas,['https://bbb.io/gsocideas'],gsoc_planning,gsoc,2023-2024
66,harshit6383,harshit6383: I want to contribute to gsoc can anyone suggest a good repo in beagle board before proposing any idea my language is javascript.,I want to contribute to gsoc can anyone suggest a good repo in beagle board before proposing any idea my language is javascript.,[],gsoc_planning,gsoc,2023-2024
67,harshit6383,harshit6383: Sorry if this question is very basic.,Sorry if this question is very basic.,[],general,gsoc,2023-2024
68,harshit6383,harshit6383: Actually I was able to find project ideas but I need to submit some initial PRs before giving gsoc proposal for which I need to find initial repository to contribute.,Actually I was able to find project ideas but I need to submit some initial PRs before giving gsoc proposal for which I need to find initial repository to contribute.,[],gsoc_planning,gsoc,2023-2024
69,rcnee,rcnee: Fun opps on mainline (6.6-rc1) ```[   12.687223] gb_beagleplay serial0-0: Using baudrate 115200```,Fun opps on mainline (6.6-rc1) ```[   12.687223] gb_beagleplay serial0-0: Using baudrate 115200```,[],general,gsoc,2023-2024
70,rcnee,rcnee: https://git.beagleboard.org/RobertCNelson/arm64-multiplatform/-/tree/v6.6.x-arm64-k3/patches/gb-beagleplay might be behind...,https://git.beagleboard.org/RobertCNelson/arm64-multiplatform/-/tree/v6.6.x-arm64-k3/patches/gb-beagleplay might be behind...,['https://git.beagleboard.org/RobertCNelson/arm64-multiplatform/-/tree/v6.6.x-arm64-k3/patches/gb-beagleplay'],kernel_dev,gsoc,2023-2024
71,ayush1325,ayush1325: Hmm. The patch 3 seems to be missing: https://github.com/Ayush1325/linux/commit/63fe6da2be2472133565de8f23ef92d710eb5d84. I also have more NULL checks since that patch. I will check out if I can reproduce it on my local tree.,Hmm. The patch 3 seems to be missing: https://github.com/Ayush1325/linux/commit/63fe6da2be2472133565de8f23ef92d710eb5d84. I also have more NULL checks since that patch. I will check out if I can reproduce it on my local tree.,['https://github.com/Ayush1325/linux/commit/63fe6da2be2472133565de8f23ef92d710eb5d84.'],kernel_dev,gsoc,2023-2024
72,rcnee,rcnee: Oh patch 3 got moved into the DT changes repo..,Oh patch 3 got moved into the DT changes repo..,[],kernel_dev,gsoc,2023-2024
73,ayush1325,ayush1325: Yeah. It will stay on 3 patches from now (as far as I can tell).,Yeah. It will stay on 3 patches from now (as far as I can tell).,[],kernel_dev,gsoc,2023-2024
74,rcnee,rcnee: https://git.beagleboard.org/beagleboard/BeagleBoard-DeviceTrees/-/blob/v6.6.x/src/arm64/k3-am625-beagleplay.dts,https://git.beagleboard.org/beagleboard/BeagleBoard-DeviceTrees/-/blob/v6.6.x/src/arm64/k3-am625-beagleplay.dts,['https://git.beagleboard.org/beagleboard/BeagleBoard-DeviceTrees/-/blob/v6.6.x/src/arm64/k3-am625-beagleplay.dts'],kernel_dev,gsoc,2023-2024
75,rcnee,"rcnee: I had other DT changes, it was easier the changing patch 3 again and again","I had other DT changes, it was easier the changing patch 3 again and again",[],kernel_dev,gsoc,2023-2024
76,ayush1325,ayush1325: Sure. the mainline and beagle kernel dt are different so I am not sure if you could directly apply the patch anyway. Although the dt name will change again from all the feedback I have got.,Sure. the mainline and beagle kernel dt are different so I am not sure if you could directly apply the patch anyway. Although the dt name will change again from all the feedback I have got.,[],kernel_dev,gsoc,2023-2024
77,ayush1325,"ayush1325: So how much of CC1352 do I need to describe in dtbindings? The Kernel docs say you should describe the complete device so I guess I should use the complete binding from zephyr/dts (modified for linux since the zephyr dt schema seems quite different), and define cc1352 as an soc. 
Also should it be `ti,cc1352` or `beagle,cc1352`?","So how much of CC1352 do I need to describe in dtbindings? The Kernel docs say you should describe the complete device so I guess I should use the complete binding from zephyr/dts (modified for linux since the zephyr dt schema seems quite different), and define cc1352 as an soc. 
Also should it be `ti,cc1352` or `beagle,cc1352`?",[],kernel_dev,gsoc,2023-2024
78,ayush1325,"ayush1325: @JKridner @Nishanth Menon As outlined in the mailing list by Jason (https://lists.linaro.org/archives/list/greybus-dev@lists.linaro.org/message/ZLH5INCQPV3YEYMVCW4V2R5CDMHFQOOA/), I think branding it as BeagleConnect would be a good option. 
This would mean having bindings in `Documentation/devicetree/bindings/firmware/beagle,beagleconnect.yaml` and allow future additions as BeagleConnect instead of being tied to beagleplay. The driver can be renamed as `gb-beagleconnect`.","@JKridner @Nishanth Menon As outlined in the mailing list by Jason (https://lists.linaro.org/archives/list/greybus-dev@lists.linaro.org/message/ZLH5INCQPV3YEYMVCW4V2R5CDMHFQOOA/), I think branding it as BeagleConnect would be a good option. 
This would mean having bindings in `Documentation/devicetree/bindings/firmware/beagle,beagleconnect.yaml` and allow future additions as BeagleConnect instead of being tied to beagleplay. The driver can be renamed as `gb-beagleconnect`.","['https://lists.linaro.org/archives/list/greybus-dev@lists.linaro.org/message/ZLH5INCQPV3YEYMVCW4V2R5CDMHFQOOA/),']",kernel_dev,gsoc,2023-2024
79,nmenon,nmenon: dt bindings needs to be hardware,dt bindings needs to be hardware,[],kernel_dev,gsoc,2023-2024
80,ayush1325,"ayush1325: The dt bindings under `Documentation/devicetree/bindings/firmware/` seem to be more related to firmware running on top of soc than the device itself. Like `amlogic,meson-gxbb-sm.yaml` seems to be used to identify `Amlogic Secure Monitor (SM)` and has a single required compatibilty or `nvidia,tegra186-bpmp.yaml` for BPMP processor in nvidia gpus.
We can describe cc1352 as the beagleconnect or svc processor in case of beagleplay device rather than any generic cc1352.","The dt bindings under `Documentation/devicetree/bindings/firmware/` seem to be more related to firmware running on top of soc than the device itself. Like `amlogic,meson-gxbb-sm.yaml` seems to be used to identify `Amlogic Secure Monitor (SM)` and has a single required compatibilty or `nvidia,tegra186-bpmp.yaml` for BPMP processor in nvidia gpus.
We can describe cc1352 as the beagleconnect or svc processor in case of beagleplay device rather than any generic cc1352.",[],kernel_dev,gsoc,2023-2024
81,nmenon,nmenon: https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/arch/arm64/boot/dts/nvidia/tegra194.dtsi#n1723 for example is tied to a specific hardware,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/arch/arm64/boot/dts/nvidia/tegra194.dtsi#n1723 for example is tied to a specific hardware,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/arch/arm64/boot/dts/nvidia/tegra194.dtsi#n1723'],kernel_dev,gsoc,2023-2024
82,nmenon,nmenon: you need to describe the hardware and then properties or subnodes (such as links) OR you will need to go via actual h/w call path - such as smc (secure monitor call) https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/arch/arm64/boot/dts/freescale/imx8ulp.dtsi#n169,you need to describe the hardware and then properties or subnodes (such as links) OR you will need to go via actual h/w call path - such as smc (secure monitor call) https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/arch/arm64/boot/dts/freescale/imx8ulp.dtsi#n169,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/arch/arm64/boot/dts/freescale/imx8ulp.dtsi#n169'],kernel_dev,gsoc,2023-2024
83,nmenon,nmenon: simplest will be to link it as cc1352 and then extend the description as a link property,simplest will be to link it as cc1352 and then extend the description as a link property,[],general,gsoc,2023-2024
84,nmenon,"nmenon: it will fly better with the maintainers as ""generic"" devices are strictly frowned upon","it will fly better with the maintainers as ""generic"" devices are strictly frowned upon",[],general,gsoc,2023-2024
85,ayush1325,"ayush1325: What is a link property? Do you mean `links` which seems to allow pointing to a label? I guess what you are suggesting is something like the following:
```dts
&main_uart6 {
  links = <&cc1352_uart>;
  ...
}

&cc1352 {
   cc1352_uart {
     compatibile = ""something"";
   }
  ...
}
```","What is a link property? Do you mean `links` which seems to allow pointing to a label? I guess what you are suggesting is something like the following:
```dts
&main_uart6 {
  links = <&cc1352_uart>;
  ...
}

&cc1352 {
   cc1352_uart {
     compatibile = ""something"";
   }
  ...
}
```",[],kernel_dev,gsoc,2023-2024
86,nmenon,"nmenon: PHandle, not literally links property","PHandle, not literally links property",[],general,gsoc,2023-2024
87,ayush1325,ayush1325: @Nishanth Menon Should I place cc1352 bindings under `soc/ti`? or maybe create a new folder for `beagle`?,@Nishanth Menon Should I place cc1352 bindings under `soc/ti`? or maybe create a new folder for `beagle`?,[],kernel_dev,gsoc,2023-2024
88,nmenon,nmenon: typically we dont. soc/ti are for description of the entire SoC. wllink power ICs etc go their specific folders,typically we dont. soc/ti are for description of the entire SoC. wllink power ICs etc go their specific folders,[],general,gsoc,2023-2024
89,ayush1325,ayush1325: Hmm. Won't we have to categorize CC1352 as an SoC? Although I guess categorizing it as SoC would mean having to describe the complete hardware (even the parts not being used) according to docs.,Hmm. Won't we have to categorize CC1352 as an SoC? Although I guess categorizing it as SoC would mean having to describe the complete hardware (even the parts not being used) according to docs.,[],general,gsoc,2023-2024
90,ayush1325,"ayush1325: @Nishanth Menon What resources would need to be added to the dt bindings?  Krzysztof mentioned this: ""By resources I mean whatever is needed to power it up and operate, e.g. clocks, supplies, reset lines."". But well, I am not sure if anything other than compatible is needed for cc1352p7 as an mcu","@Nishanth Menon What resources would need to be added to the dt bindings?  Krzysztof mentioned this: ""By resources I mean whatever is needed to power it up and operate, e.g. clocks, supplies, reset lines."". But well, I am not sure if anything other than compatible is needed for cc1352p7 as an mcu",[],kernel_dev,gsoc,2023-2024
91,ayush1325,"ayush1325: Also, it was suggested to use `ti,cc1352p7` as the device name. Since this is not a full SoC (I think?), it should probably go into `arm` There is a `arm/ti` folder as well so should it be put there?","Also, it was suggested to use `ti,cc1352p7` as the device name. Since this is not a full SoC (I think?), it should probably go into `arm` There is a `arm/ti` folder as well so should it be put there?",[],general,gsoc,2023-2024
92,nmenon,nmenon: You will need things like reset lines etc.,You will need things like reset lines etc.,[],general,gsoc,2023-2024
93,nmenon,nmenon: I thought I explained previously,I thought I explained previously,[],general,gsoc,2023-2024
94,ayush1325,ayush1325: Reset lines refers to RESET_IN in data sheet right?,Reset lines refers to RESET_IN in data sheet right?,[],general,gsoc,2023-2024
95,nmenon,nmenon: Yes. There will be clocks etc,Yes. There will be clocks etc,[],general,gsoc,2023-2024
96,nmenon,nmenon: Look at a peripheral on uart as an example,Look at a peripheral on uart as an example,[],general,gsoc,2023-2024
